transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,hour,day_of_week,is_weekend,is_late_night,amount_deviation,transactions_last_1h,recipient_repeat_count,previous_device,previous_location,device_changed,location_changed,fraud_label,user_avg_amount,user_median_amount,user_max_amount,user_transaction_count,iqr_anomaly,isolation_prediction,isolation_anomaly,isolation_score,transaction_hour,time_series_anomaly,burst_anomaly,risk_iqr,risk_isolation,risk_burst,risk_device,risk_location,risk_late_night,risk_time_series,risk_score,risk_level,is_suspicious,number_of_signals,risk_score_range,improved_risk_score,improved_is_suspicious,final_risk_score,final_is_suspicious,final_risk_level
TXN_007856,2026-09-19 00:49:42.793653,USER_0855,USER_0436,1764.06,Travel,P2P,Chennai,Web,Other,0,5,1,1,3.5291678913892897,18.0,0,iOS,Hyderabad,1,1,1,499.85153846153844,403.15,1764.06,13,1,-1,1,0.13860477327236054,2026-09-19 00:00:00,0,1,20,30,20,15,10,5,0,100,Critical,1,6,"(90.0, 100.0]",90,1,90,1,Critical
TXN_003854,2026-09-16 06:07:42.793653,USER_0922,USER_0785,2497.69,Education,P2P,Kolkata,Android,BHIM,6,2,0,0,1.0278321746667387,8.0,0,iOS,Delhi,1,1,1,2430.05625,1031.385,11342.2,8,1,-1,1,0.04856664291006252,2026-09-16 06:00:00,0,1,20,30,20,15,10,0,0,95,Critical,1,5,"(90.0, 100.0]",85,1,85,1,Critical
TXN_008285,2026-09-19 07:58:42.793653,USER_0215,USER_0512,1737.87,Entertainment,P2P,Delhi,Web,Google Pay,7,5,1,0,2.5264291820037332,15.0,0,Android,Hyderabad,1,1,1,687.876,541.65,1737.87,10,1,-1,1,0.10017468886429148,2026-09-19 07:00:00,0,1,20,30,20,15,10,0,0,95,Critical,1,5,"(90.0, 100.0]",85,1,85,1,Critical
TXN_004867,2026-09-16 23:00:42.793653,USER_0751,USER_0719,2475.13,Travel,P2M,Pune,Android,PhonePe,23,2,0,0,4.397615093927032,18.0,0,iOS,Hyderabad,1,1,1,562.8346153846153,313.68,2475.13,13,1,-1,1,0.11315687117432782,2026-09-16 23:00:00,0,1,20,30,20,15,10,0,0,95,Critical,1,5,"(90.0, 100.0]",85,1,85,1,Critical
TXN_000176,2026-09-13 16:49:42.793653,USER_0943,USER_0882,2484.96,Shopping,P2P,Hyderabad,iOS,PhonePe,16,6,1,0,3.2262037822787857,16.0,0,Android,Chennai,1,1,1,770.2427272727273,526.06,2484.96,11,1,-1,1,0.11784147331167005,2026-09-13 16:00:00,0,1,20,30,20,15,10,0,0,95,Critical,1,5,"(90.0, 100.0]",85,1,85,1,Critical
TXN_008268,2026-09-19 07:41:42.793653,USER_0601,USER_0824,3754.41,Bills,P2M,Kolkata,iOS,BHIM,7,5,1,0,3.9356612568091203,19.0,0,Android,Hyderabad,1,1,1,953.9464285714284,259.71,5600.57,14,1,-1,1,0.14661151565966357,2026-09-19 07:00:00,0,1,20,30,20,15,10,0,0,95,Critical,1,5,"(90.0, 100.0]",85,1,85,1,Critical
TXN_006089,2026-09-17 19:22:42.793653,USER_0203,USER_0293,2390.73,Travel,P2P,Bangalore,Web,Google Pay,19,3,0,0,2.5242335575678148,13.0,0,Web,Chennai,0,1,1,947.11125,442.385,2390.73,8,1,-1,1,0.09384477868198204,2026-09-17 19:00:00,0,1,20,30,20,0,10,0,0,80,Critical,1,4,"(70.0, 80.0]",80,1,80,1,Critical
TXN_009626,2026-09-20 06:19:42.793653,USER_0858,USER_0748,2107.58,Shopping,P2P,Chennai,Android,BHIM,6,6,1,0,4.673580750644357,9.0,0,Android,Kolkata,0,1,1,450.9561538461539,418.49,2107.58,13,1,-1,1,0.11079103749953612,2026-09-20 06:00:00,0,1,20,30,20,0,10,0,0,80,Critical,1,4,"(70.0, 80.0]",80,1,80,1,Critical
TXN_009090,2026-09-19 21:23:42.793653,USER_0929,USER_0335,2562.74,Shopping,P2P,Bangalore,iOS,Google Pay,21,5,1,0,3.0522253849910075,6.0,0,iOS,Chennai,0,1,1,839.63,494.95,3136.21,21,1,-1,1,0.08200234607536616,2026-09-19 21:00:00,0,1,20,30,20,0,10,0,0,80,Critical,1,4,"(70.0, 80.0]",80,1,80,1,Critical
TXN_009390,2026-09-20 02:23:42.793653,USER_0789,USER_0745,852.54,Bills,P2P,Delhi,Web,BHIM,2,6,1,1,1.6678779816199667,12.0,0,iOS,Pune,1,1,1,511.1525,437.01,934.39,8,0,-1,1,0.09810595684289092,2026-09-20 02:00:00,0,1,0,30,20,15,10,5,0,80,Critical,1,5,"(70.0, 80.0]",75,1,75,1,Critical
TXN_002124,2026-09-15 01:17:42.793653,USER_0861,USER_0977,314.42,Food,P2P,Mumbai,iOS,Paytm,1,1,0,1,1.3508076834949974,18.0,0,Android,Hyderabad,1,1,1,232.76444444444445,156.0,710.36,9,0,-1,1,0.09148171682246897,2026-09-15 01:00:00,0,1,0,30,20,15,10,5,0,80,Critical,1,5,"(70.0, 80.0]",75,1,75,1,Critical
TXN_006382,2026-09-18 00:15:42.793653,USER_0833,USER_0301,311.06,Education,P2M,Pune,Android,BHIM,0,4,0,1,0.6261560228213858,11.0,0,iOS,Hyderabad,1,1,1,496.77714285714285,412.37,1310.6,14,0,-1,1,0.05633551005797233,2026-09-18 00:00:00,0,1,0,30,20,15,10,5,0,80,Critical,1,5,"(70.0, 80.0]",75,1,75,1,Critical
TXN_004989,2026-09-17 01:02:42.793653,USER_0450,USER_0641,127.97,Healthcare,P2M,Mumbai,Android,Paytm,1,3,0,1,0.19670321900352608,18.0,0,Web,Chennai,1,1,1,650.5740000000001,377.48,2512.57,15,0,-1,1,0.08731821627337921,2026-09-17 01:00:00,0,1,0,30,20,15,10,5,0,80,Critical,1,5,"(70.0, 80.0]",75,1,75,1,Critical
TXN_008147,2026-09-19 05:40:42.793653,USER_0532,USER_0241,295.76,Bills,P2P,Pune,Android,Paytm,5,5,1,1,0.3850594983063045,11.0,0,iOS,Jaipur,1,1,1,768.0890909090908,341.72,2052.3,11,0,-1,1,0.0782490641946062,2026-09-19 05:00:00,0,1,0,30,20,15,10,5,0,80,Critical,1,5,"(70.0, 80.0]",75,1,75,1,Critical
