transaction_id,timestamp,sender_id,receiver_id,amount,merchant_category,transaction_type,location,device_type,upi_channel,hour,day_of_week,is_weekend,is_late_night,amount_deviation,transactions_last_1h,recipient_repeat_count,previous_device,previous_location,device_changed,location_changed,fraud_label,user_avg_amount,user_median_amount,user_max_amount,user_transaction_count
TXN_000898,2026-09-13 07:32:52.117962,USER_0001,USER_0451,120.22,Education,P2M,Chennai,Android,PhonePe,7,6,1,0,0.22893896492336846,0.0,0,,,0,0,0,525.118125,299.97,2385.88,16
TXN_001050,2026-09-13 10:04:52.117962,USER_0001,USER_0621,768.39,Healthcare,P2P,Bangalore,iOS,BHIM,10,6,1,0,1.4632707640780824,0.0,0,Android,Chennai,1,1,0,525.118125,299.97,2385.88,16
TXN_001358,2026-09-13 15:12:52.117962,USER_0001,USER_0271,159.36,Food,P2M,Jaipur,Web,Google Pay,15,6,1,0,0.30347457536340045,0.0,0,iOS,Bangalore,1,1,0,525.118125,299.97,2385.88,16
TXN_001586,2026-09-13 19:00:52.117962,USER_0001,USER_0956,109.54,Shopping,P2P,Jaipur,Android,PhonePe,19,6,1,0,0.20860068389374298,0.0,0,Web,Jaipur,1,1,1,525.118125,299.97,2385.88,16
TXN_002761,2026-09-14 14:35:52.117962,USER_0001,USER_0299,296.17,Bills,P2M,Jaipur,Android,Google Pay,14,0,0,0,0.5640064318861591,0.0,0,Android,Jaipur,0,0,0,525.118125,299.97,2385.88,16
TXN_002840,2026-09-14 15:54:52.117962,USER_0001,USER_0324,189.9,Travel,P2M,Kolkata,Android,Other,15,0,0,0,0.36163291830766653,0.0,0,Android,Jaipur,0,1,0,525.118125,299.97,2385.88,16
TXN_004235,2026-09-15 15:09:52.117962,USER_0001,USER_0578,137.92,Entertainment,P2M,Pune,Android,Google Pay,15,1,0,0,0.2626456666297702,0.0,0,Android,Kolkata,0,1,0,525.118125,299.97,2385.88,16
TXN_004512,2026-09-15 19:46:52.117962,USER_0001,USER_0038,105.3,Shopping,P2M,Kolkata,Web,Google Pay,19,1,0,0,0.20052631015164446,0.0,0,Android,Pune,1,1,0,525.118125,299.97,2385.88,16
TXN_004935,2026-09-16 02:49:52.117962,USER_0001,USER_0291,144.13,Shopping,P2M,Chennai,Android,Paytm,2,2,0,1,0.27447157722845694,0.0,0,Web,Kolkata,1,1,0,525.118125,299.97,2385.88,16
TXN_005759,2026-09-16 16:33:52.117962,USER_0001,USER_0911,1174.86,Bills,P2P,Mumbai,Web,Other,16,2,0,0,2.237325173264587,0.0,0,Android,Chennai,1,1,0,525.118125,299.97,2385.88,16
TXN_007157,2026-09-17 15:51:52.117962,USER_0001,USER_0202,1122.31,Education,P2P,Hyderabad,Android,Other,15,3,0,0,2.137252451531739,0.0,0,Web,Mumbai,1,1,0,525.118125,299.97,2385.88,16
TXN_008574,2026-09-18 15:28:52.117962,USER_0001,USER_0297,303.77,Healthcare,P2M,Jaipur,Android,Google Pay,15,4,0,0,0.5784793659521845,0.0,0,Android,Hyderabad,0,1,0,525.118125,299.97,2385.88,16
TXN_008816,2026-09-18 19:30:52.117962,USER_0001,USER_0195,657.27,Shopping,P2M,Delhi,Android,Paytm,19,4,0,0,1.25166123336535,0.0,0,Android,Jaipur,0,1,0,525.118125,299.97,2385.88,16
TXN_009078,2026-09-18 23:52:52.117962,USER_0001,USER_0650,401.97,Entertainment,P2P,Pune,iOS,Google Pay,23,4,0,0,0.7654849087526736,0.0,0,Android,Delhi,1,1,0,525.118125,299.97,2385.88,16
TXN_009152,2026-09-19 01:06:52.117962,USER_0001,USER_0590,2385.88,Travel,P2M,Pune,Android,PhonePe,1,5,1,1,4.54351104334858,0.0,0,iOS,Pune,1,0,1,525.118125,299.97,2385.88,16
TXN_009498,2026-09-19 06:52:52.117962,USER_0001,USER_0657,324.9,Travel,P2M,Chennai,iOS,BHIM,6,5,1,0,0.6187179313225952,0.0,0,Android,Pune,1,1,0,525.118125,299.97,2385.88,16
